photoelectric and axioelectric cross sections.
The axioelectric cross sections assumes gae=1 and scales as gae^2
 
col1: E[keV]   	col2: sigma_pe[cm^2]    	col3: sigma_a[cm^2]
 
0.009953499999999999	4.153709999999992e-19	8.590663756808947e-28
0.00997644518720837	4.683291402074852e-19	9.730647269528435e-28
0.009999443268536	5.280392313557825e-19	1.1021906917138223e-27
0.010022494365916429	5.953621201689129e-19	1.2484517085567916e-27
0.010045598601564277	6.71268407883121e-19	1.414121603744284e-27
0.010068756097975896	7.5685244350797275e-19	1.601775940927624e-27
0.010091966977930038	8.533481011722833e-19	1.8143320617839842e-27
0.010115231364488466	9.621465690183145e-19	2.05509444005688e-27
0.010138549380996651	1.0848164061090952e-18	2.3278060540913555e-27
0.010161921151084389	1.2231261565108002e-18	2.6367065765183296e-27
0.010185346798666485	1.3790698465805482e-18	2.986598285727459e-27
0.010208826447943383	1.5548957330558415e-18	3.382920723809971e-27
0.010232360223401854	1.753138716410989e-18	3.83183526163304e-27
0.010255948249815622	1.9766568867860643e-18	4.3403208857219325e-27
0.010279590652246068	2.22867272937626e-18	4.9162826960901285e-27
0.010303287556042845	2.5128195833427347e-18	5.568674801760515e-27
0.010327039086844587	2.833194024049501e-18	6.3076395245589405e-27
0.010350845370579537	3.1944149238249433e-18	7.144665075288445e-27
0.010374706533466251	3.601690042735132e-18	8.092764153578847e-27
0.01039862270201423	4.06089110941305e-18	9.166676247984238e-27
0.010422594003024628	4.578638474394421e-18	1.0383096781363756e-26
0.010446620563590886	5.1623965564135554e-18	1.1760936663915768e-26
0.010470702511099448	5.820581457721668e-18	1.3321616288977158e-26
0.010494839973230391	1.0736396774935296e-17	2.4685907749247842e-26
0.01051903307795815	2.014019023328962e-17	4.652154368491048e-26
0.010543281953552142	3.7780576774136844e-17	8.767164038732479e-26
0.010567586728577504	7.087182220490406e-17	1.6522058210846892e-25
0.010591947531895726	1.3294702229324573e-16	3.1136454880572997e-25
0.01061636449266537	2.018178161599277e-16	4.748430120933638e-25
0.010640837740342721	1.6358685710213584e-16	3.8666864580137315e-25
